
Host: cortex

Timers On : Fri Aug 20 18:29:37 2021
Timers Off: Fri Aug 20 18:29:41 2021

Wall Time:        3.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.117u      0.000s      0.071w      1 calls
DFH: sparsity prep                  :      0.417u      0.067s      0.284w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.100s      0.380w      3 calls
DFH: initialize()                   :      0.500u      0.033s      0.326w      1 calls
DFH: AO Construction                :      0.150u      0.000s      0.085w      1 calls
DFH: AO-Met. Contraction            :      0.033u      0.000s      0.023w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.433u      0.133s      0.330w      1 calls
SAD Guess                           :      0.433u      0.117s      0.329w      1 calls
HF: Form G                          :      3.200u      0.033s      1.909w      9 calls
RV: Form V                          :      3.083u      0.033s      1.843w      9 calls
Properties                          :      0.800u      0.000s      0.481w   7812 calls
Functional                          :      1.100u      0.017s      0.726w   7812 calls
V_xc                                :      1.150u      0.017s      0.619w   7812 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.117u      0.000s      0.065w      9 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.065w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.067u      0.000s      0.009w      9 calls
DFH: compute_K                      :      0.050u      0.000s      0.054w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.007w      8 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      8 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      8 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      8 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w      8 calls
New vector                          :      0.000u      0.000s      0.000w      8 calls
HF: Form C                          :      0.000u      0.000s      0.005w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.117u      0.000s      0.071w      1 calls
DFH: sparsity prep                  :      0.417u      0.067s      0.284w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.067s      0.198w      1 calls
DFH: initialize()                   :      0.500u      0.033s      0.326w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.033s      0.182w      2 calls
| DFH: AO Construction              :      0.150u      0.000s      0.085w      1 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.023w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.433u      0.133s      0.330w      1 calls
| SAD Guess                         :      0.433u      0.117s      0.329w      1 calls
HF: Form G                          :      3.200u      0.033s      1.909w      9 calls
| RV: Form V                        :      3.083u      0.033s      1.843w      9 calls
| | Properties                      :      0.800u      0.000s      0.481w   7812 calls
| | Functional                      :      1.100u      0.017s      0.726w   7812 calls
| | V_xc                            :      1.150u      0.017s      0.619w   7812 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.117u      0.000s      0.065w      9 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.065w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.067u      0.000s      0.009w      9 calls
| | | DFH: compute_K                :      0.050u      0.000s      0.054w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.007w      8 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      8 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      8 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      8 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w      8 calls
| | New vector                      :      0.000u      0.000s      0.000w      8 calls
HF: Form C                          :      0.000u      0.000s      0.005w      8 calls

**************************************************************************************

Host: cortex

Timers On : Fri Aug 20 18:31:14 2021
Timers Off: Fri Aug 20 18:31:18 2021

Wall Time:        3.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
