Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
lantibiotic biosynthesis protein [Kitasatospora sp. CB01950],Kitasatospora sp. CB01950,680,680,99%,0.0,100.00,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073810225.1?report=genbank&log$=prottop&blast_rank=1&RID=HARJ45W701R"",""WP_073810225.1"")"
lantibiotic biosynthesis protein [Kitasatospora sp. CB02891],Kitasatospora sp. CB02891,619,619,98%,0.0,91.01,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_100586424.1?report=genbank&log$=prottop&blast_rank=2&RID=HARJ45W701R"",""WP_100586424.1"")"
lantibiotic biosynthesis protein [Kitasatospora griseola],Kitasatospora griseola,616,616,98%,0.0,90.43,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_189272075.1?report=genbank&log$=prottop&blast_rank=3&RID=HARJ45W701R"",""WP_189272075.1"")"
lantibiotic biosynthesis protein [Kitasatospora cheerisanensis],Kitasatospora cheerisanensis,595,595,98%,0.0,90.14,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_035858852.1?report=genbank&log$=prottop&blast_rank=4&RID=HARJ45W701R"",""WP_035858852.1"")"
lantibiotic biosynthesis protein [Kitasatospora sp. NA04385],Kitasatospora sp. NA04385,593,593,95%,0.0,89.22,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_176185244.1?report=genbank&log$=prottop&blast_rank=5&RID=HARJ45W701R"",""WP_176185244.1"")"
lantibiotic biosynthesis protein [Kitasatospora sp. NRRL B-11411],Kitasatospora sp. NRRL B-11411,570,570,96%,0.0,86.35,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_035957288.1?report=genbank&log$=prottop&blast_rank=6&RID=HARJ45W701R"",""WP_035957288.1"")"
lantibiotic biosynthesis protein [Kitasatospora sp. MMS16-BH015],Kitasatospora sp. MMS16-BH015,539,539,98%,0.0,79.89,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104821207.1?report=genbank&log$=prottop&blast_rank=7&RID=HARJ45W701R"",""WP_104821207.1"")"
lantibiotic biosynthesis protein [Kitasatospora herbaricolor],Kitasatospora herbaricolor,523,523,96%,0.0,77.08,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_191292796.1?report=genbank&log$=prottop&blast_rank=8&RID=HARJ45W701R"",""WP_191292796.1"")"
lantibiotic biosynthesis protein [Kitasatospora indigofera],Kitasatospora indigofera,498,498,96%,2e-177,76.49,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190212052.1?report=genbank&log$=prottop&blast_rank=9&RID=HARJ45W701R"",""WP_190212052.1"")"
lantibiotic biosynthesis protein [Kitasatospora albolonga],Kitasatospora albolonga,407,407,95%,2e-141,60.12,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084746793.1?report=genbank&log$=prottop&blast_rank=10&RID=HARJ45W701R"",""WP_084746793.1"")"
lantibiotic biosynthesis protein [Kitasatospora sp. MBT63],Kitasatospora sp. MBT63,393,393,96%,9e-136,59.64,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051811630.1?report=genbank&log$=prottop&blast_rank=11&RID=HARJ45W701R"",""WP_051811630.1"")"
